timestamp,simulation_hour,day_of_week,is_weekend,location_id,location_name,city,location_type,latitude,longitude,is_open,opening_hour,closing_hour,visitor_count,crowd_density,crowd_level,temperature_c,humidity,weather_condition,weather_factor,event_name,event_type,event_multiplier,holiday_overlap,school_vacation,tourism_season,resource_usage,noise_level_db,satisfaction_score,peak_flag
2026-06-23T10:15:03.755048,10,Tuesday,0,CAI_01,Egyptian Museum,Cairo,Museum,30.0478,31.2336,1,9,17,2551,0.43,Medium,25.8,57,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,61.5,79.3,0
2026-06-23T10:15:03.755048,10,Tuesday,0,CAI_02,NMEC,Cairo,Museum,30.0061,31.2485,1,9,17,1128,0.23,Low,25.8,57,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Low,51.5,88.4,0
2026-06-23T10:15:03.755048,10,Tuesday,0,CAI_03,Salah El-Din Citadel,Cairo,Historical,30.0299,31.2615,1,8,17,3760,0.54,Medium,25.8,57,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,67.0,74.0,0
2026-06-23T10:15:03.755048,10,Tuesday,0,CAI_04,Khan El Khalili,Cairo,Market,30.0478,31.2625,1,9,23,3014,0.3,Medium,25.8,57,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,55.0,84.8,0
2026-06-23T10:15:03.755048,10,Tuesday,0,CAI_05,Al Muizz Street,Cairo,Historical,30.0524,31.262,1,8,23,4151,0.46,Medium,25.8,57,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,63.0,79.1,0
2026-06-23T10:15:03.755048,10,Tuesday,0,CAI_06,Cairo Tower,Cairo,Leisure,30.0459,31.2243,1,9,23,1642,0.33,Medium,25.8,57,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,56.5,81.6,0
2026-06-23T10:15:03.755048,10,Tuesday,0,CAI_07,Al Azhar Park,Cairo,Leisure,30.04,31.2688,1,9,22,2901,0.41,Medium,25.8,57,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,60.5,82.8,0
2026-06-23T10:15:03.755048,10,Tuesday,0,GIZ_01,Pyramids of Giza,Giza,Historical,29.9792,31.1342,1,8,17,3975,0.33,Medium,26.22,49,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,56.5,79.8,0
2026-06-23T10:15:03.755048,10,Tuesday,0,GIZ_02,Great Sphinx,Giza,Historical,29.9753,31.1376,1,8,17,3778,0.38,Medium,26.22,49,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,59.0,78.7,0
2026-06-23T10:15:03.755048,10,Tuesday,0,GIZ_03,Grand Egyptian Museum,Giza,Museum,29.9884,31.1307,1,9,18,5167,0.34,Medium,26.22,49,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,57.0,83.7,0
